x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.021,1.285879e-18,1.132538,1.132538,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67302.6,143847.0,2.1373171001221776
0.021,1.285879e-18,1.314356,1.314356,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67978.3,146497.8,2.1550671000147528
0.021,1.285879e-18,1.496175,1.496175,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,68654.01,149148.7,2.1724688452652825
0.021,1.285879e-18,1.677993,1.677993,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,68995.01,150187.4,2.176786376626565
0.021,1.285879e-18,1.859811,1.859811,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,69835.41,152048.9,2.1772464402049554
0.021,1.285879e-18,2.041629,2.041629,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,70675.82,153910.4,2.1776952545057804
0.021,1.285879e-18,2.223447,2.223447,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,72001.76,155771.8,2.1634443079801895
0.021,1.285879e-18,2.405265,2.405265,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,73015.45,157054.4,2.150974866949736
0.021,1.285879e-18,2.587084,2.587084,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,74029.15,159384.5,2.1529964594623
0.021,1.285879e-18,2.768902,2.768902,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,74338.13,161714.6,2.175392329947063
