x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.021,1.285879e-18,1.132538,1.132538,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,66311.26,117220.5,1.7677314264917992
0.021,1.285879e-18,1.314356,1.314356,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,66964.98,118951.8,1.7763284365002658
0.021,1.285879e-18,1.496175,1.496175,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,66824.5,120683.10000000002,1.805970836953949
0.021,1.285879e-18,1.677993,1.677993,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67410.84,125132.0,1.8562592921812087
0.021,1.285879e-18,1.859811,1.859811,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67997.2,127336.39999999998,1.8726712000983685
0.021,1.285879e-18,2.041629,2.041629,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67281.71,129540.8,1.9253493716888381
0.021,1.285879e-18,2.223447,2.223447,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,67877.98,131745.2,1.940912178869905
0.021,1.285879e-18,2.405265,2.405265,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,68474.25,136163.1,1.988529965811528
0.021,1.285879e-18,2.587084,2.587084,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,68354.02,138607.3,2.027785607521172
0.021,1.285879e-18,2.768902,2.768902,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,68853.87,141051.4,2.048561656032382
