x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.021,1.285879e-18,1.132538,1.132538,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,60177.94999999999,119325.89999999998,1.9828840633008593
0.021,1.285879e-18,1.314356,1.314356,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,60520.03,120796.0,1.9959672525613876
0.021,1.285879e-18,1.496175,1.496175,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,60862.1,122266.10000000002,2.0089037018291567
0.021,1.285879e-18,1.677993,1.677993,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,61387.01,123362.10000000002,2.009579844179089
0.021,1.285879e-18,1.859811,1.859811,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,61791.05000000001,124765.10000000002,2.019145134786589
0.021,1.285879e-18,2.041629,2.041629,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62195.1,126168.2,2.028587428453569
0.021,1.285879e-18,2.223447,2.223447,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62903.41,127571.2,2.028049003574703
0.021,1.285879e-18,2.405265,2.405265,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,63289.579999999994,131030.60000000002,2.070334452048277
0.021,1.285879e-18,2.587084,2.587084,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,63675.75,132572.7,2.0819966457874997
0.021,1.285879e-18,2.768902,2.768902,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,63759.88,134114.7,2.1034339759824836
