x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.021,1.285879e-18,1.132538,1.132538,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,375787.2,694082.1,1.8470083551355438
0.021,1.285879e-18,1.314356,1.314356,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,379152.2,705195.9,1.8599282771933585
0.021,1.285879e-18,1.496175,1.496175,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,384471.4000000001,716309.6,1.863102426180198
0.021,1.285879e-18,1.677993,1.677993,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,388264.3,734540.6999999998,1.8918574231731902
0.021,1.285879e-18,1.859811,1.859811,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,392057.2,747016.6,1.9053765575396229
0.021,1.285879e-18,2.041629,2.041629,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,391558.2,759492.6,1.9396672016071501
0.021,1.285879e-18,2.223447,2.223447,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,395252.7,771968.5,1.9531011376946923
0.021,1.285879e-18,2.405265,2.405265,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,398947.0999999999,784444.5,1.9662870040506955
0.021,1.285879e-18,2.587084,2.587084,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,397385.5,785204.5,1.9759263939526572
0.021,1.285879e-18,2.768902,2.768902,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,400440.9000000001,798160.1999999998,1.9932034864740245
